word	pos	pron	gw	freq	def	example
ingredient	noun [C often plural]	/ɪnˈgriːd.iː.ənt/	FOOD	B1	a food that is used with other foods in the preparation of a particular dish	The list of ingredients included 1/2 cup of almonds.
initial	noun [C usually plural]	/ɪˈnɪʃ.əl/		B1	the first letter of a name, especially when used to represent a name	He wrote his initials, P.M.R., at the bottom of the page.|Paul M. Reynolds refused to say what the initial "M" stood for.|They carved their initials into a tree.
injure	verb [T]	/ˈɪn.dʒər/		B1	to hurt a person, animal or part of your body	A bomb exploded at the embassy, injuring several people.|She fell and injured her shoulder.|He was badly/seriously injured in the crash.
ink	noun [C or U]	/ɪŋk/		B1	a colored liquid that you use for writing, printing, or drawing	a bottle of ink|blue/black/red ink|Please write in ink, not in pencil.|The book is printed in three different colored inks.
inquiry	noun	/ɪnˈkwɑɪ.ri/		B1	a question that you ask when you want more information	I've made some inquiries about the cost of a round-the-world ticket.|Inquiry into the matter is pointless - no one will tell you anything.
insist	verb [I]	/ɪnˈsɪst/	DEMAND	B1	to demand that something must be done or that you must have a particular thing	He insists we leave at 8:30.|She insisted on seeing her lawyer.|Please go first - I insist!
install	verb [T]	/ɪnˈstɔːl/	COMPUTER	B1	to put a computer program onto a computer so that the computer can use it	Andrew, can you help me install this software?
install	verb [T]	/ɪnˈstɔːl/	EQUIPMENT	B1	to put a piece of equipment somewhere and make it ready for use	The plumber is coming tomorrow to install the new washing machine.
instance	noun	/ˈɪn.stəns/	for instance	B1	for example	In the electronics industry, for instance, 5000 jobs are being lost.
instead of	preposition			B1	in place of	You can go instead of me, if you want.|We should book the flights now instead of waiting until next week.
instructor	noun [C]	/ɪnˈstrʌk.tər/		B1	someone who teaches a particular sport or activity	a driving instructor
intelligent	adjective	/ɪnˈtel.ə.dʒənt/		B1	showing intelligence, or able to learn and understand things easily	a highly intelligent young man|an intelligent remark|Helen had a few intelligent things to say on the subject.
intend	verb [T]	/ɪnˈtend/	HAVE PLAN	B1	to have as a plan or purpose	We intend to go to Australia next year.|Somehow I offended him, which wasn't what I'd intended.|I don't think she intended me to hear the remark.|It was intended as a compliment, honestly!
interest	noun	/ˈɪn.trəst/	FEELING	B1	the feeling of wanting to give your attention to something or of wanting to discover more about it	I've always had an interest in astronomy.|He didn't show any interest in his dinner.|I lost interest halfway through the movie.|She takes more of an interest in politics these days.
interest	noun	/ˈɪn.trəst/	ACTIVITY/SUBJECT	B1	something that you enjoy doing, studying or experiencing	On his form he lists his interests as cycling, the cinema and cooking.
interest	noun	/ˈɪn.trəst/	QUALITY	B1	the quality that makes you think that something is interesting	Nothing much of interest was discussed.|Would this book be of any interest to you?
interest	verb [T]	/ˈɪn.trəst/		B1	If someone or something interests you, you want to give them your attention and discover more about them.	Sports have never really interested me.
intermediate	adjective	/ˌɪn.t̬ərˈmiːd.iː.ət/		B1	between the highest and lowest levels of knowledge or skill	There are three levels of difficulty in this game: low, intermediate and high.|This novel is too difficult for intermediate students of English.
intermission	noun [C]	/ˌɪnt.ərˈmɪʃ.ən/		B1	a short period of time between the parts of a play, performance, etc.	The show "Zorro" had only one intermission of 20 minutes.
internationally	adverb	/ˌɪn.tərˈnæʃ.ən.əl.i/		B1	in many countries	Her internationally acclaimed novel has won several literary prizes.
interrupt	verb	/ˌɪn.t̬əˈrʌpt/	STOP SPEAKING	B1	to stop someone while they are talking or doing something, by saying or doing something yourself	She tried to explain what had happened but he kept interrupting her.|I wish you'd stop interrupting.
interview	noun [C]	/ˈɪn.t̬ərˌvjuː/	FOR JOB	B1	a meeting in which someone asks you questions to see if you are suitable for a job or course	a job interview|I had an interview for a job with a publishing company.
interview	noun [C]	/ˈɪn.t̬ərˌvjuː/	FOR ARTICLE/TV, ETC.	B1	a meeting in which someone is asked questions about themselves for a newspaper article, television show, etc	an exclusive interview with Paul Simon|In a television interview last night she denied she had any intention of resigning.
interview	verb [T]	/ˈɪn.t̬ərˌvjuː/		B1	to ask someone questions in an interview	We've had 200 applicants for the job, but we only plan to interview about 20 of them.|Who's the most famous person you've ever interviewed on TV?
into	preposition	/ˈɪn.tuː/	HIT	B1	moving toward something or someone and hitting them	He's always walking into things when he doesn't have his glasses on.
into	preposition	/ˈɪn.tuː/	TOWARD	B1	in the direction of something or someone	She was looking straight into his eyes.
into	preposition	/ˈɪn.tuː/	be into sth	B1	to be very interested in something	Will's really into jazz.
introduce	verb [T]	/ˌɪn.trəˈduːs/	MEETING PEOPLE	B1	to tell someone another person's name the first time that they meet	I'd like to introduce my younger son, Mark.|Have you two been introduced (to each other)?
invent	verb [T]	/ɪnˈvent/	NEW DESIGN	B1	to design or create something which has never existed before	The first safety razor was invented by company founder King C. Gillette in 1903.
invention	noun [C or U]	/ɪnˈven.tʃən/		B1	something which has been designed or created for the first time, or the act of creating or designing something	The world changed rapidly after the invention of the telephone.|a most amazing invention
involve	verb [T]	/ɪnˈvɑlv/	NECESSARY PART	B1	If a situation or activity involves something, that thing is a necessary part of it.	The trips often involve a lot of walking.|The course involves a huge amount of reading.|There are a lot of risks involved.
involve	verb [T]	/ɪnˈvɑlv/	AFFECT/INCLUDE	B1	to affect or include someone or something in an activity	The second accident involved two cars and a truck.|It would be difficult not to involve the child's father in the arrangements.
iron	noun	/ˈɑɪ.ərn/	METAL	B1	a dark grey metal used to make steel and found in very small amounts in blood and food	an iron bar|Iron rusts easily.|Liver is a particularly rich source of iron.
iron	noun	/ˈɑɪ.ərn/	FOR CLOTHES	B1	a piece of electrical equipment that you use for making clothes flat and smooth	a steam iron|a travel iron
iron	verb [I or T]	/ˈɑɪ.ərn/		B1	to make clothes flat and smooth using an iron	I need to iron a shirt to wear tomorrow.
ironing	noun [U]	/ˈɑɪ.ər.nɪŋ/		B1	the activity of making clothes flat and smooth, using an iron	I must do some ironing tonight.
irregular	adjective	/ɪˈreg.jə.lər/	GRAMMAR	B1	In grammar, an irregular verb, noun, adjective, etc. does not obey the usual rules for words in the language.	a table of irregular verbs
issue	noun [C]	/ˈɪʃ.uː/	SUBJECT	B1	a subject or problem which people are thinking and talking about	environmental/moral/personal issues|As employers we need to be seen to be addressing these issues sympathetically.
item	noun [C]	/ˈɑɪt̬.əm/	PART OF SET	B1	a single thing in a set or on a list	the last item on the list|The restaurant has a long menu of about 50 items.|Several items of clothing lay on the floor.
itself	pronoun	/ɪtˈself/	(by) itself	B1	alone or without help	The dog was in the house by itself for several days.|The dog managed to drag the box into the room by itself.|I didn't take any medicine for the cough - it just got better itself.
itself	pronoun	/ɪtˈself/	EMPHASIS	B1	used to put emphasis on a word	The shop itself started 15 years ago but the mail-order side of the business is new.
jail	noun [C or U]	/dʒeɪl/		B1	a place where criminals are kept as a punishment	the country's overcrowded jails|a 13-year jail sentence/term|He was sent to jail for five years.|The financier was released from jail last week.|They spent ten years in jail for fraud.
jar	noun [C]	/dʒɑr/		B1	a glass container used for storing food	a jar of coffee/honey|a cookie jar
jealous	adjective	/ˈdʒel.əs/	UNHAPPY IN LOVE	B1	upset and angry because someone you love seems interested in another person	a jealous husband/wife|Anna says she feels jealous every time another woman looks at her boyfriend.
jet	noun [C]	/dʒet/		B1	an aircraft with a jet engine, which is able to fly very fast	a jet plane|a private jet|We flew to New York on a jet.
jog	verb [I]	/dʒɑg/		B1	to run slowly for exercise	I jog through the park every morning.
jogging	noun [U]	/ˈdʒɑg.ɪŋ/		B1	when you jog	Let's go jogging.
join	verb	/dʒɔɪn/	CONNECT	B1	to fasten or connect things together	A bridge joins the two islands.|Join the two pieces together using a strong glue.|The island is joined to the mainland by a bridge.
join	verb	/dʒɔɪn/	MEET	B1	If roads or rivers join, they meet at a particular point.	Route 440 joins I-287 just over the bridge.|The Missouri River and the Mississippi River join north of St. Louis.
join	verb	/dʒɔɪn/		B1	to become involved in an activity with other people	We only need one more person to be able to play a game - can you persuade your sister to join in?|If you know the song, we'd like everyone to join in on the chorus.
joke	noun [C]	/dʒoʊk/	FUNNY	B1	something which someone says to make people laugh, usually a short story with a funny ending	Did I tell you the joke about the chicken crossing the road?|I hope you're not going to tell that old joke about the chicken again.|Don't you get the joke?
joke	verb [I]	/dʒoʊk/		B1	to say funny things, or not be serious	They joked and laughed as they looked at the photos.|It's more serious than you think, so please don't joke about it.
journalist	noun [C]	/ˈdʒɜrn.əl.ɪst/		B1	a person who writes news stories or articles for a newspaper or magazine or broadcasts them on radio or television	a freelance journalist
judge	noun [C]	/dʒʌdʒ/	COMPETITION	B1	someone who decides which person or thing wins a competition	the Olympic judges
judge	verb	/dʒʌdʒ/	DEVELOP OPINION	B1	to have or develop an opinion about something or someone, especially after thinking carefully	So far, he seems to be handling the job well, but it's really too soon to judge.|It's difficult to judge whether the new system really is an improvement.|The meeting was judged to have been a success.|I'm hopeless at judging distance(s).
juicy	adjective	/ˈdʒuː.si/	WITH JUICE	B1	full of juice	juicy mangoes
jump	verb	/dʒʌmp/	jump in/into/up, etc.	B1	to move or act suddenly or quickly	She jumped in/into a taxi and rushed to the station.|He suddenly jumped to his feet/jumped up and left.
jump	noun [C]	/dʒʌmp/		B1	a sudden movement off the ground or off a high place	He won with a jump of 8.5 meters.|a bungee/parachute jump
jungle	noun [C or U]	/ˈdʒʌŋ.gəl/		B1	a tropical forest in which trees and plants grow very closely together	The Yanomami people live in the South American jungle.|Either side of the river is dense, impenetrable jungle.
just	adverb	/dʒʌst/	ONLY	B1	only	"Would you like another drink?" "OK, just one more."|It was just a joke.|The movie is not just about love.|Just because you're older than me doesn't mean you can tell me what to do.
just	adverb	/dʒʌst/	ALMOST NOT	B1	almost not	This dress only just fits!|We arrived at the airport just in time to catch the plane.
just	adverb	/dʒʌst/	EXACTLY	B1	exactly or equally	This carpet would be just right for the dining room.|The twins look just like each other.|Things turned out just as I expected.|You've got just as many toys as your brother.|I can't help you just now.|Just then, the lights went out.
just	adverb	/dʒʌst/	EMPHASIS	B1	used to emphasize something you say	It's just dreadful what happened to her.|I just can't bear it!
just	adverb	/dʒʌst/	just about	B1	more or less; almost	"Can you see the stage?" "Yes, just about."|I've just about finished painting the living room.
just	adverb	/dʒʌst/	be just about to do sth	B1	to be going to do something very soon	I was just about to phone you.
just	adverb	/dʒʌst/	just as bad/good/tall/clever, etc. (as sb/sth)	B1	equally bad/good/tall/clever, etc.	He's just as talented as his brother.
just	adverb	/dʒʌst/	just before/over/under, etc.	B1	a little before/over/under, etc. something else	She left just before Michael.|It costs just under $10.
kangaroo	noun [C]	/ˌkæŋ.gəˈruː/		B1	a large Australian animal that moves by jumping on its back legs	Kangaroos are a danger on the roads.
keep	verb	/kiːp/	keep doing sth	B1	to continue doing something without stopping, or to do it repeatedly	He keeps trying to distract me.|I kept hoping that he'd phone me.
keep	verb	/kiːp/	keep in touch	B1	to communicate or continue to communicate with someone, for example by e-mail or telephone	We've kept in touch by e-mail for the last five years.
keep	verb	/kiːp/	DELAY	B1	to delay someone or prevent them from doing something	He's very late, what's keeping him?|She kept me talking on the phone for half an hour.|Don't let me keep you from your work.
keep	verb	/kiːp/	keep a/sth secret	B1	to not tell anyone a secret/about something secret	Mr. Brown apparently delayed the announcement, and managed to keep it secret from the entire group.
keep	verb	/kiːp/		B1	to make a child stay inside, often as a punishment, or to make someone stay in a hospital	She kept the children in because it was so cold.
keep	verb	/kiːp/		B1	to not go onto an area, or to stop someone or something going onto an area	Keep off the grass.
keep	verb	/kiːp/		B1	to continue to do something, or to do something again and again	She kept on asking me questions the whole time.
keep	verb	/kiːp/		B1	to not go into a place, or to stop someone or something from going into a place	The building was unsafe so they put up a sign saying "Danger - Keep out."
keep	verb	/kiːp/		B1	to continue doing something or not allow it to fall to a lower level	Keep up the good work.|Make sure you eat - you've got to keep your strength up.
keeper	noun [C]	/ˈkiː.pər/		B1	a person who takes care of animals or is in charge of valuable objects, a building, etc.	a zoo keeper|a lighthouse keeper
kettle	noun [C]	/ˈket̬.əl/		B1	a covered container used for boiling water that has a handle and an opening for pouring	
key	noun [C]	/kiː/	METHOD	B1	a way of explaining or achieving something	Hard work is the key to success.
kid	verb [I or T]	/kɪd/		B1	to say something as a joke	You're just kidding me, aren't you?
kid	verb [I or T]	/kɪd/	Are you kidding?/You're kidding!	B1	something you say to show that you are surprised by what someone has said, or do not believe it is true	"She left on Friday." "You're kidding! Really?"
killer	noun [C]	/ˈkɪl.ər/		B1	someone who kills another person	Police are still hoping to find the dead woman's killer.
killing	noun [C]	/ˈkɪl.ɪŋ/		B1	when a person is murdered	a series of brutal killings
kind	noun [C]	/kɑɪnd/	that kind of thing	B1	used to show that what you have just said is only an example from a larger group of things	I like pasta, pizza - that kind of thing/those kinds of things.
kind	noun [C]	/kɑɪnd/	some kind of	B1	used to talk about something when you are not sure of its exact type	He's opening some kind of store.
kindly	adverb	/ˈkɑɪn.dli/		B1	in a kind way	Stella has very kindly offered to help out with the food for the party.
kit	noun [C]	/kɪt/		B1	a collection of things kept in a container for a particular use	a first-aid/tool kit
kitten	noun [C]	/ˈkɪt.ən/		B1	a young cat	Our cat's had two kittens.
knee	noun [C]	/niː/		B1	the middle part of your leg where it bends	a knee injury|The baby was crawling around on its hands and knees.|He got/went down on his knees in front of the altar.
knit	verb [I or T]	/nɪt/		B1	to make clothes, etc. by using two long needles to connect wool or another type of thread into joined rows	She's forever knitting.|She's busy knitting baby clothes.|My granny knitted me some gloves/knitted some gloves for me.
knock	verb	/nɑk/	MAKE NOISE	B1	to repeatedly hit something, making a noise	She knocked on the window to attract his attention.|There's someone knocking on/at the door.|Please knock before entering.
knock	verb	/nɑk/	HIT	B1	to hit, especially forcefully, and cause to move or fall	He accidentally knocked the vase off the table.|She knocked her head against the wall as she fell.|She took a hammer and knocked a hole in the wall.
knock	verb	/nɑk/		B1	to hit someone with a vehicle and injure or kill them	She was knocked down by a bus.
know	verb	/noʊ/	you know	B1	used to emphasize what you are saying, or used before you start to talk about someone or something, or used as something to say while you are thinking what to say next	I'm not stupid, you know!|You know the bookshop next to the bank? Well, it's closing down.|It's, you know, supposed to be a surprise on her birthday.
know	verb	/noʊ/	BE FAMILIAR WITH	B1	to be familiar with or have experience and understanding of	I've known Daniel since we were in school together.|She grew up in Paris so she knows it well.|I've seen the film "Casablanca" so many times that I know a lot of it by heart.|Knowing Sarah, she'll do a good job.
know	verb	/noʊ/	UNDERSTAND A SUBJECT	B1	If you know a subject, you are familiar with it and understand it.	Do you know about computers?|She knows her subject inside out.
know	verb	/noʊ/	get to know sb/sth	B1	to spend time with someone or something so that you gradually learn more about them	The first couple of meetings are for the doctor and patient to get to know each other.|I'll need a few weeks to get to know the system.
know	verb	/noʊ/	I know	B1	used when you have an idea	I know - let's go to Helen's house.
know	verb	/noʊ/	as you know	B1	used when you are saying something that someone already knows	As you know, we have been trying to contact him.
knowledge	noun	/ˈnɑl.ɪdʒ/	UNDERSTANDING	B1	information and understanding that you have in your mind	Her knowledge of English grammar is very extensive.|He has a limited knowledge of French.|The details of the scandal are now common knowledge.
known	adjective	/noʊn/	be known as sth	B1	to be called	California is also known as the Sunshine State.
lab	noun [C]	/læb/		B1	a laboratory	a science/computer lab|a lab technician
label	noun [C]	/ˈleɪ.bəl/	INFORMATION	B1	a small piece of paper or other material which gives information about the thing it is attached to	a warning label|Remember to put address labels on the suitcases.|The washing instructions should be on the label.
label	noun [C]	/ˈleɪ.bəl/	COMPANY	B1	the name or symbol of a company that produces goods for sale, or the goods themselves or the company itself	The group has signed with a new record label.|A major/independent label will release their new album.|Her favorite designer label is Armani.|Everything we produce goes out under our own label.
laboratory	noun [C]	/ˈlæb.rəˌtɔːr.i/		B1	a room used for scientific work	research laboratories|a computer laboratory|Laboratory tests suggest that the new drug may be used to treat cancer.
lack	noun	/læk/	lack of sth	B1	not having something, or not having enough of something	Your problem is lack of confidence.|Lack of sleep had made him irritable.|If he fails it won't be through lack of effort.|She certainly has no lack of friends.|a lack of money
ladder	noun [C]	/ˈlæd.ər/	EQUIPMENT	B1	a piece of equipment that is used to reach high places, consisting of short steps attached between two long sides	She was up on a ladder, cleaning the window.
lady	noun [C]	/ˈleɪd.i/		B1	a polite or old fashioned way of referring to or talking to a woman	There's a young lady here to see you.|Ladies and gentlemen, may I have your attention.
lamb	noun [C or U]	/læm/		B1	a young sheep, or the flesh of a young sheep eaten as meat	We were staying on a farm where there were newborn lambs.|roast lamb
land	noun	/lænd/	AREA OF GROUND	B1	an area of ground, especially when used for a particular purpose such as farming or building	This land here is good for growing potatoes.|We want to buy a plot of land to build a house.|They just bought 150 acres of land in Idaho.
land	verb	/lænd/	ARRIVE	B1	to arrive at a place in a plane or a boat, or to make a plane or a boat reach the land	We should land in Madrid at 7:00 a.m.|The pilot said we would land in about 20 minutes.|We’d been sailing for three weeks by the time we landed at Miami.|We landed at Port Said in the early evening.
landscape	noun [C]	/ˈlænd.skeɪp/		B1	the appearance of an area of land, especially in the countryside	a rural landscape|The castle dominates the landscape for miles around.
language	noun	/ˈlæŋ.gwɪdʒ/	COMMUNICATION	B1	communication between people, usually using words	She has done research into how children acquire language.|Her language skills are excellent.
last	adjective ; determiner	/læst/	REMAINING	B1	only remaining	Who wants the last piece of cake?
last	adverb	/læst/	MOST RECENT	B1	used to talk about the most recent time you did something	When did you last see her?|I think it was July when I last spoke to him.
last	noun ; pronoun	/læst/	at (long) last	B1	finally	At last, I've found a pair of jeans that actually fit.
last	verb [I ]	/læst/	CONTINUE	B1	to continue to happen, exist, or be useful	How long will the meeting last?|We don't get much sun - enjoy it while it lasts!|Most sessions last about an hour.|The batteries only last about five hours.
lately	adverb	/ˈleɪt.li/		B1	recently	Lately, I've been walking to work.|I haven't been feeling so well lately.
later	adverb	/ˈleɪt̬.ər/	later on	B1	at a time in the future, or after the time you have mentioned	What are you doing later on this evening?|Why don’t you call back later on, when he’s sure to be here?|Should I go pick her up later on?|Later on, we could go out to dinner.
laugh	verb [I]	/læf/		B1	to show that you think someone or something is stupid	I can't go into work looking like this - everyone will laugh at me.|If you say that, people will just laugh at you.
laugh	noun [C]	/læf/		B1	the act or sound of laughing	a loud/nervous laugh|I was embarrassed at the time, but I had a good laugh about it later.
law	noun	/lɔː/	SUBJECT	B1	the subject or job of understanding and dealing with the official laws of a country	to study/practice law|a law school/firm|civil/criminal/international law
lawyer	noun [C]	/ˈlɔɪ.ər/		B1	someone whose job is to give advice to people about the law and speak for them in court	I want to see my lawyer before I say anything.
lead	verb	/liːd/	SHOW WAY	B1	to show someone where to go, usually by taking them to a place or by going in front of them	I don't know the way, so you'd better lead.|She led them down the hall.|The waiter led us to our table.|Our guide led us through the mountains.|She took the child by the hand and led him upstairs to bed.|He led the horse out of the stable.
lead	adjective [always before noun]	/liːd/		B1	The lead performer or lead part in a performance is the main performer or part.	Who played the lead role?
leader	noun [C]	/ˈliːd.ər/	PERSON IN CONTROL	B1	a person in control of a group, country, or situation	a business/community/political leader|a band leader|Meet your tour/group leader in front of the hotel.|The Russian leader wants to introduce further changes.
leaf	noun [C]	/liːf/	PLANT	B1	a flat, green part of a plant that grows from a stem or branch	a lettuce leaf|He was raking up leaves in his yard.|By early November it’s getting cold and the trees are starting to lose their leaves.
league	noun [C]	/liːg/		B1	a group of teams that compete against each other in a sport	the National League|the major/minor leagues|Will Boston win the league championship this year?|Our team has the worst record in the league.|Do you belong to a bowling league?
learn	verb	/lɜrn/	REMEMBER	B1	to make yourself remember a piece of writing by reading it or repeating it many times	I don't know how actors manage to learn all their lines.|We were told to learn Portia's speech by heart for homework.
learn	verb	/lɜrn/	BE TOLD INFORMATION	B1	to be told facts or information that you did not know	Parents learned of the schedule change in a letter from the teacher.|I later learned (that) the message had never arrived.|I only learned about the accident later.
least	adverb	/liːst/	at least	B1	even if nothing else happens or is true	Please make sure at least the kitchen is clean.
least	adverb	/liːst/	at least	B1	something that you say when you are telling someone about an advantage in a bad situation	It's a small house but at least there's a deck and a big yard.
least	adverb	/liːst/	LESS	B1	less than anything or anyone else	I got the least expensive thing on the menu.|This group is the least likely of the four to win.|I’m really not the least bit concerned.|It was the answer I least wanted to hear.
leave	verb	/liːv/	END RELATIONSHIP	B1	to end a relationship with a husband, wife, or partner	He said he'd never leave.|She left him.
leave	verb	/liːv/		B1	to leave a place without taking someone or something with you	We were in a hurry and I think I must have left my keys behind.|The flood victims were forced to leave behind family photos and mementos.
lecture	noun [C]	/ˈlek.tʃər/		B1	a formal talk on a serious or specialist subject given to a group of people, especially students	We went to a lecture on Italian art.|Who's giving the lecture this afternoon?
leisure	noun [U]	/ˈliː.ʒər/		B1	the time when you are not working	leisure activities|Most people have a limited amount of leisure time.
length	noun [C or U]	/leŋθ/	DISTANCE	B1	the measurement or distance of something from one end to the other	The boat is 20 feet in length.|The length of the living room is 25 feet, the width is 12 feet.
let	verb	/let/	ALLOW	B1	to allow someone to do something, or to allow something to happen	She wanted to go but her parents wouldn't let her.|Their parents let them go to the movie.|He decided to let his hair grow long.|I'm letting you stay up late, just this once.|That's Grandma at the door - could you let her in?|Don't let it upset you.
lettuce	noun [C or U]	/ˈlet̬.əs/		B1	a plant with large green leaves, eaten raw in salads	Do you want lettuce and tomato on your sandwich?
lie	verb [I]	/lɑɪ/	OBJECT	B1	to be on a particular surface	A pen lay on the desk.|There were papers lying all over the floor.
lie	verb [I]	/lɑɪ/	PLACE	B1	to be in a particular place or position	The river lies 40 miles to the south.|You shouldn’t leave that money lying around.
lie	verb [I]	/lɑɪ/		B1	to say or write something which is not true in order to deceive someone	Are you lying to me?|Don't trust her - she's lying.|I suspect he lies about his age.
lie	noun [C]	/lɑɪ/		B1	something that you say which you know is not true	I told a lie when I said I liked her haircut.
life	noun	/lɑɪf/	PLANTS/ANIMALS	B1	everything which is alive	animal/marine/plant life
life	noun	/lɑɪf/	WAY OF LIVING	B1	a way of living	You lead an exciting life.|A vacation is a pleasant change from everyday life.|Teaching has been her whole life.
life	noun	/lɑɪf/	family/private/work, etc. life	B1	one part of someone's existence	I never talk about my private life.|I like to keep my home life and work life separate, so I don't bring work home from the office.|my working life|We interviewed senior politicians, famous writers and others in public life.
life	noun	/lɑɪf/	a/sb's way of life	B1	the manner in which a person lives	She told us all about her way of life in Japan.
lift	verb [T]	/lɪft/		B1	to move something from a lower to a higher position	Could you help me lift this table, please?|Could you lift your chair a bit - I've got my bag caught under it.|She lifted the cup (up)to her lips.
light	noun	/lɑɪt/	BRIGHTNESS	B1	the brightness that comes from the sun, fire, etc. and from electrical devices, and that allows things to be seen	bright light|Light was streaming in through the windows.|This room faces north, so it doesn't get much light.
light	adjective	/lɑɪt/	BRIGHT	B1	lit by the natural light of the day	It gets light very early these summer mornings.|In July, it stays light until almost 9:00 p.m.|Let's finish the work while it's still light enough to see.
light	adjective	/lɑɪt/	NOT MUCH	B1	small in amount	A light breeze was blowing.|Traffic was light so we got home pretty quickly.|It's just a light rain.|I don't eat much for lunch - just a light snack.
light	verb	/lɑɪt/	START FLAMES	B1	to start to burn or to make something start to burn	to light a fire|I can't get the barbecue to light.|I tried to light the fire, but the wood was wet.
lighter	noun [C]	/ˈlɑɪ.t̬ər/		B1	a small object that produces a flame and is used to start something burning	Can I borrow your lighter?
lightly	adverb	/ˈlɑɪt.li/	GENTLY	B1	gently	She patted him lightly on the shoulder.
lightning	noun [U]	/ˈlɑɪt.nɪŋ/		B1	a sudden flash of light in the sky during a storm	thunder and lightning|a flash of lightning|That tree was struck by lightning.|She changed her clothes with lightning speed.
like	preposition	/lɑɪk/	SUCH AS	B1	such as	I prefer natural fabrics like cotton and wool.
like	conjunction	/lɑɪk/		B1	as if	It looks like rain.|It looks like I'll be home late tonight.|It sounds to me like you ought to change jobs.|You look like you've you need some sleep.|Sometimes it seems like I'll never be finished!
like	noun	/lɑɪk/	likes and dislikes	B1	things that you do and do not like	She knows her children’s likes and dislikes.
likely	adjective	/ˈlɑɪ.kli/		B1	describes something that will probably happen or is expected	If I don’t write it down, I’m likely to forget.|I suppose that could happen, but it's not likely.|I'm more likely to be home on Saturday than on Sunday.
limit	noun [C]	/ˈlɪm.ət/	LARGEST POSSIBLE AMOUNT	B1	the largest amount of something that is possible or allowed	Is there a limit on the number of tickets you can get?|Two cups of coffee - that's my limit.|I think we ought to put a limit on the amount of time we can spend on the project.|There's a limit to my patience.|We set a time limit of thirty minutes for the test.
limited	adjective	/ˈlɪm.ə.tɪd/	SMALL	B1	small in amount or number	a limited choice|limited resources
line	noun [C]	/lɑɪn/	PEOPLE WAITING	B1	a group of people standing one behind the other who are waiting for something	Are you in line?|There was a long line at the movie theater.|Just get in/on line and wait your turn like everyone else.|I had to wait/stand in line for three hours to get tickets.
line	noun [C]	/lɑɪn/	WORDS	B1	a row of words on a page	The same line is repeated throughout the poem.|Can you read the next line, please, Sonia?
line	noun [C]	/lɑɪn/	RAILROAD	B1	a train route or railroad track	rail/commuter lines|Wet leaves on the track delayed trains on both lines this morning.|the Hudson Line/the Raritan Valley Line
link	noun [C]	/lɪŋk/	COMPUTER	B1	a connection between documents or areas on the Internet	Click on this link to visit our online bookstore.
lip	noun [C]	/lɪp/		B1	one of the two soft edges of the mouth	He licked his lips.|My lips are dry from the cold.
liquid	noun [C or U]	/ˈlɪk.wɪd/		B1	a substance, such as water, that is not solid or a gas and that can be poured easily	liquid fuel/nitrogen|Mercury is a liquid at room temperature.
listen	verb [I]	/ˈlɪs.ən/	PAY ATTENTION	B1	to pay attention to what someone tells you and accept what they say	I told you she wouldn't like it but you wouldn't listen to me!
literature	noun [U]	/ˈlɪt̬.ə.rə.tʃər/	BOOKS	B1	books, poems, etc. that are considered to be art	American/French/world literature|contemporary literature|great works of literature|The course in English literature covers Shakespeare’s plays.
little	adjective	/ˈlɪt̬.əl/	NOT IMPORTANT	B1	not important	I had a little problem with my car, but it’s fixed now.|She gets really upset by every little thing.
little	determiner	/ˈlɪt̬.əl/	NOT ENOUGH	B1	not much or enough	There seems little hope of a ceasefire.|They have very little money.|There's so little choice.
little	determiner	/ˈlɪt̬.əl/	a little sth	B1	a small amount of something	It just needs a little effort.
little	pronoun	/ˈlɪt̬.əl/	SMALL AMOUNT	B1	a small amount	I could only hear a little of what they were saying.|He does as little as possible at work.|There's not much flour left but you're welcome to the/what little there is.|She slept very little that night.|We did very little on Sunday.
little	pronoun	/ˈlɪt̬.əl/	a little	B1	a small amount	"Do we have any sugar left?" "A little."
live	verb		SPEND LIFE	B1	to spend your life in a particular way	After a while you get used to living alone.|When you retire, you want to live a comfortable life.|On his income, they can afford to live well.|They lived happily ever after.|She certainly lived her life to the full.
live	verb		BE ALIVE	B1	to be alive	He only lived a few days after the accident.|Her grandmother lived to the ripe old age of 94.|This oak tree has been living for over 200 years.|Boccaccio lived in the 14th century.
live	adjective		AS IT HAPPENS	B1	A live radio or television program or performance is seen or heard as it happens.	This evening there will be a live broadcast of the debate.|There will be live music at the party.|a live concert
lively	adjective	/ˈlɑɪv.li/		B1	full of energy and interest	It's hard work teaching a class of lively children.|a lively city|They take a lively interest in their grandchildren.|There was some lively discussion at the meeting.
load	noun [C]	/loʊd/	loads of/a load of	B1	a lot	There were loads of people there.|I've got a load of work to finish before tomorrow.
loan	noun [C]	/loʊn/	MONEY	B1	money that someone has borrowed	She's going to take out a loan to start her own business.|We'd have to get a loan to be able to buy a car.|My brother repaid his student loan within five years.
local	adjective	/ˈloʊ.kəl/		B1	relating to an area near you	a local accent|local issues|a local hospital/television station|Most of the local population depend on fishing for their income.|Our children all go to the local school.|Many local stores will be close if the new mall is built.
locate	verb [T]	/ˈloʊ.keɪt/	be located in/near/on/etc.	B1	to be in a particular place	The company decided to locate its headquarters in Denver.
location	noun [C]	/loʊˈkeɪ.ʃən/	PLACE	B1	a place or position	The hotel is in a lovely location overlooking the lake.|A map showing the location of the property will be sent to you.
